,all,25%,22.00%,19%,16.00%,13%,10%,7%,4%,1%,10 best
commit,502284865,120637829,114044246,106707997,98016297,89195302,77957852,66072697,51460177,27729020,53955
commit_comment,3422105,1509909,1450684,1403791,1347155,1286233,1191045,1095203,957976,590121,3667
forked,14664799,11423644,11273477,11103236,10888426,10611321,10239012,9699805,8787683,6325383,114600
issue_assignee,36672569,22376132,21861461,21299929,20620420,19682637,18622891,17171782,14932963,9938161,70270
issue_comment,62478002,54195492,53661676,53042170,52204942,51140685,49618347,47275516,43197602,32008558,264317
issue_reporter,36672569,22376132,21861461,21299929,20620420,19682637,18622891,17171782,14932963,9938161,70270
pull,39512989,22854817,22272249,21669761,20921751,20029839,18891960,17305847,14982575,9933774,65034
pull_comment,10019022,7989733,7872238,7741251,7570391,7314754,7025753,6642968,5969090,4326066,24276
watcher,50871849,50490747,50044933,49494892,48789740,47803995,46305788,43528455,34478655,4326066,
total,695707898,263363688,254297492,244268064,232189802,218943408,202169751,182435600,155221029,100789244,666389